Data Table for Daily Case Trends - North Carolina
Date generated: Sun Nov 07 2021 12:42:02 GMT-0500 (Eastern Standard Time)
State,Date,New Cases,7-Day Moving Avg
North Carolina,Mar  1 2020,0,0
North Carolina,Feb 29 2020,0,0
North Carolina,Feb 28 2020,0,0
North Carolina,Feb 27 2020,0,0
North Carolina,Feb 26 2020,0,0
North Carolina,Feb 25 2020,0,0
North Carolina,Feb 24 2020,0,0
North Carolina,Feb 23 2020,0,0
North Carolina,Feb 22 2020,0,0
North Carolina,Feb 21 2020,0,0
North Carolina,Feb 20 2020,0,0
North Carolina,Feb 19 2020,0,0
North Carolina,Feb 18 2020,0,0
North Carolina,Feb 17 2020,0,0
North Carolina,Feb 16 2020,0,0
North Carolina,Feb 15 2020,0,0
North Carolina,Feb 14 2020,0,0
North Carolina,Feb 13 2020,0,0
North Carolina,Feb 12 2020,0,0
North Carolina,Feb 11 2020,0,0
North Carolina,Feb 10 2020,0,0
North Carolina,Feb  9 2020,0,0
North Carolina,Feb  8 2020,0,0
North Carolina,Feb  7 2020,0,0
North Carolina,Feb  6 2020,0,0
North Carolina,Feb  5 2020,0,0
North Carolina,Feb  4 2020,0,0
North Carolina,Feb  3 2020,0,0
North Carolina,Feb  2 2020,0,0
North Carolina,Feb  1 2020,0,0
North Carolina,Jan 31 2020,0,0
North Carolina,Jan 30 2020,0,0
North Carolina,Jan 29 2020,0,0
North Carolina,Jan 28 2020,0,0
North Carolina,Jan 27 2020,0,0
North Carolina,Jan 26 2020,0,0
North Carolina,Jan 25 2020,0,0
North Carolina,Jan 24 2020,0,0
North Carolina,Jan 23 2020,0,0
